country,population,death_rate,dr_per_day,death_rate_pop
Panama,4176873.0,5.048,1.3830136986301371e-05,57.766725764383565
Papua New Guinea,8606316.0,7.521,2.0605479452054793e-05,177.3372674958904
Paraguay,6956071.0,5.465,1.4972602739726028e-05,104.15048771232875
Peru,31989256.0,5.438,1.48986301369863e-05,476.5960935013698
Philippines,106651922.0,5.8389999999999995,1.5997260273972604e-05,1706.1385549534248
Poland,37978548.0,10.6,2.9041095890410963e-05,1102.9386542465754
Portugal,10281762.0,10.6,2.9041095890410963e-05,298.59363616438355
Puerto Rico,3195153.0,8.9,2.4383561643835613e-05,77.90921013698629
Qatar,2781677.0,1.169,3.2027397260273974e-06,8.908987432876714
Romania,19473936.0,13.3,3.6438356164383555e-05,709.5982158904111
Russia,144478050.0,12.9,3.534246575342466e-05,5106.210534246576
Rwanda,12301939.0,5.308,1.4542465753424656e-05,178.90052660821914
Saint Kitts and Nevis,52441.0,8.1,2.2191780821917806e-05,1.1637591780821916
Saint Lucia,181889.0,7.16,1.9616438356164386e-05,3.568014356164384
Saint Vincent and the Grenadines,110210.0,9.162,2.51013698630137e-05,2.7664219726027404
Samoa,196130.0,5.296,1.4509589041095893e-05,2.845765698630137
San Marino,33785.0,7.6,2.0821917808219175e-05,0.7034684931506849
Sao Tome and Principe,211028.0,4.908,1.3446575342465755e-05,2.8376039013698633
Saudi Arabia,33699947.0,3.446,9.441095890410961e-06,318.1644311287672
Senegal,15854360.0,5.845,1.6013698630136985e-05,253.88694301369858
Serbia,6982084.0,14.8,4.0547945205479454e-05,283.1091594520548
Seychelles,96762.0,7.8,2.136986301369863e-05,2.067790684931506
Sierra Leone,7650154.0,12.003,3.2884931506849315e-05,251.57479030684934
Singapore,5638676.0,5.0,1.3698630136986302e-05,77.24213698630138
Slovakia,5447011.0,9.9,2.7123287671232878e-05,147.74084630136988
Slovenia,2067372.0,9.9,2.7123287671232878e-05,56.073925479452065
Solomon Islands,652858.0,4.284,1.1736986301369862e-05,7.662585402739725
Somalia,15008154.0,11.062000000000001,3.0306849315068487e-05,454.8498617753425
South Africa,57779622.0,9.498,2.6021917808219176e-05,1503.5365746739724
South Sudan,10975920.0,10.574000000000002,2.8969863013698634e-05,317.9708988493151
Spain,46723749.0,9.0,2.4657534246575345e-05,1152.0924410958905
Sri Lanka,21670000.0,6.553999999999999,1.795616438356164e-05,389.1100821917807
Sudan,41801533.0,7.261,1.9893150684931506e-05,831.564194830137
Suriname,575991.0,7.277,1.9936986301369865e-05,11.48352467671233
Sweden,10183175.0,9.1,2.493150684931507e-05,253.881897260274
Switzerland,8516543.0,7.9,2.164383561643836e-05,184.3306567123288
Syria,16906283.0,5.584,1.52986301369863e-05,258.6429706082192
Tajikistan,9100837.0,4.961,1.3591780821917807e-05,123.69658179999999
Tanzania,56318348.0,6.622000000000001,1.8142465753424662e-05,1021.753699879452
Thailand,69428524.0,7.559,2.070958904109589e-05,1437.836199769863
Timor-Leste,1267972.0,6.05,1.6575342465753425e-05,21.0170701369863
Togo,7889094.0,8.568,2.3473972602739724e-05,185.18837641643836
Tonga,103197.0,7.194,1.970958904109589e-05,2.0339704602739723
Trinidad and Tobago,1389858.0,8.261000000000001,2.2632876712328768e-05,31.45648476164384
Tunisia,11565204.0,6.274,1.718904109589041e-05,198.79476683835617
Turkey,82319724.0,5.394,1.4778082191780823e-05,1216.5276472767125
Turkmenistan,5850908.0,7.057,1.9334246575342465e-05,113.12289796164384
US,327167434.0,8.5,2.3287671232876708e-05,7618.967641095891
Uganda,42723139.0,6.769,1.8545205479452053e-05,792.3093914821918
Ukraine,44622516.0,14.5,3.9726027397260274e-05,1772.6752931506849
